yyyy-mm-dd hh:mm:ss,DELTA_ENERGY,GRID_ENERGY,CHARGE_LEVEL,DISCHARGE_CAPACITY
2020-06-01 00:00:00,-74.55,0.0,0.11290841969179415,0.11290841969179415
2020-06-01 00:15:00,-57.75,0.0,0.31370268445417376,0.2007942647623796
2020-06-01 00:30:00,-43.050000000000004,0.0,0.5801221512646375,0.2664194668104638
2020-06-01 00:45:00,-36.75,0.0,0.9026276006413261,0.3225054493766886
2020-06-01 01:00:00,-49.35,0.0,1.3006133770094812,0.3979857763681551
2020-06-01 01:15:00,-48.300000000000004,0.0,1.7725319256884864,0.47191854867900523
2020-06-01 01:30:00,-43.050000000000004,0.0,2.3103652170538083,0.537833291365322
2020-06-01 01:45:00,-35.7,0.0,2.902867609403043,0.5925023923492345
2020-06-01 02:00:00,-35.7,0.0,3.5500845992690353,0.6472169898659925
2020-06-01 02:15:00,-27.3,0.0,4.239156092695759,0.6890714934267236
2020-06-01 02:30:00,-44.1,0.0,4.996023633963028,0.7568675412672693
2020-06-01 02:45:00,-29.400000000000002,0.0,5.798117994152408,0.8020943601893803
2020-06-01 03:00:00,-31.5,0.0,6.648756839200053,0.8506388450476454
2020-06-01 03:15:00,-35.7,0.0,7.554547728956871,0.9057908897568183
2020-06-01 03:30:00,-38.85,0.0,8.520525380435306,0.9659776514784347
2020-06-01 03:45:00,-36.75,0.0,9.54357818639431,1.0230528059590038
2020-06-01 04:00:00,-48.300000000000004,0.0,10.641952632022136,1.0983744456278264
2020-06-01 04:15:00,-48.300000000000004,0.0,11.815921121354982,1.1739684893328468
2020-06-01 04:30:00,-81.9,0.0,13.119060449437224,1.3031393280822414
2020-06-01 04:45:00,-64.05,0.0,14.523612133439334,1.40455168400211
2020-06-01 05:00:00,-46.290000000000006,0.0,16.001625109923943,1.47801297648461
2020-06-01 05:15:00,-26.61000000000001,0.0,17.52190188265823,1.5202767727342885
2020-06-01 05:30:00,-32.610000000000014,0.0,19.094110678846267,1.5722087961880378
2020-06-01 05:45:00,-28.08,0.0,20.711136699459974,1.6170260206137066
2020-06-01 06:00:00,14.879999999999995,0.0,22.30448988971857,1.5933531902585967
2020-06-01 06:15:00,3.539999999999992,0.0,23.89221203924963,1.5877221495310623
2020-06-01 06:30:00,32.22,0.0,25.428887727324184,1.5366756880745522
2020-06-01 06:45:00,41.48999999999995,0.0,26.900092128506028,1.4712044011818441
2020-06-01 07:00:00,71.75999999999999,0.0,28.25883954498145,1.3587474164754216
2020-06-01 07:15:00,134.72999999999996,0.0,29.40919818384732,1.1503586388658718
2020-06-01 07:30:00,120.38999999999996,0.0,30.37488114476958,0.965682960922262
2020-06-01 07:45:00,178.65,0.0,31.069942614174565,0.695061469404984
2020-06-01 08:00:00,176.30999999999995,0.0,31.49918982595852,0.4292472117839571
2020-06-01 08:15:00,237.89999999999995,11.812778821604336,31.71323924185829,0.21404941589976867
2020-06-01 08:30:00,251.15999999999997,251.15999999999997,31.92728865775806,0.21404941589976867
2020-06-01 08:45:00,283.19999999999993,283.19999999999993,32.14133807365783,0.21404941589976867
2020-06-01 09:00:00,330.68999999999994,330.68999999999994,32.35538748955759,0.21404941589976867
2020-06-01 09:15:00,345.1199999999999,345.1199999999999,32.56943690545736,0.21404941589976867
2020-06-01 09:30:00,380.7899999999999,380.7899999999999,32.783486321357124,0.21404941589976867
2020-06-01 09:45:00,392.18999999999994,392.18999999999994,32.99753573725689,0.21404941589976867
2020-06-01 10:00:00,434.52,434.52,33.211585153156655,0.21404941589976867
2020-06-01 10:15:00,467.88,467.88,33.42563456905642,0.21404941589976867
2020-06-01 10:30:00,476.73,476.73,33.639683984956186,0.21404941589976867
2020-06-01 10:45:00,484.43999999999994,484.43999999999994,33.85373340085595,0.21404941589976867
2020-06-01 11:00:00,502.0200000000001,502.0200000000001,34.06778281675572,0.21404941589976867
2020-06-01 11:15:00,525.51,525.51,34.28183223265548,0.21404941589976867
2020-06-01 11:30:00,527.8499999999999,527.8499999999999,34.49588164855525,0.21404941589976867
2020-06-01 11:45:00,571.8299999999999,571.8299999999999,34.70993106445501,0.21404941589976867
2020-06-01 12:00:00,567.3599999999999,567.3599999999999,34.92398048035478,0.21404941589976867
2020-06-01 12:15:00,580.02,580.02,35.138029896254544,0.21404941589976867
2020-06-01 12:30:00,539.8799999999999,539.8799999999999,35.35207931215431,0.21404941589976867
2020-06-01 12:45:00,567.1800000000001,567.1800000000001,35.566128728054075,0.21404941589976867
2020-06-01 13:00:00,546.3600000000001,546.3600000000001,35.78017814395384,0.21404941589976867
2020-06-01 13:15:00,559.56,559.56,35.994227559853606,0.21404941589976867
2020-06-01 13:30:00,556.2,556.2,36.20827697575337,0.21404941589976867
2020-06-01 13:45:00,522.0599999999998,522.0599999999998,36.42232639165314,0.21404941589976867
2020-06-01 14:00:00,544.7099999999999,544.7099999999999,36.6363758075529,0.21404941589976867
2020-06-01 14:15:00,518.01,518.01,36.85042522345267,0.21404941589976867
2020-06-01 14:30:00,504.9899999999999,504.9899999999999,37.06447463935243,0.21404941589976867
2020-06-01 14:45:00,503.37,503.37,37.2785240552522,0.21404941589976867
2020-06-01 15:00:00,479.61,479.61,37.492573471151964,0.21404941589976867
2020-06-01 15:15:00,425.87999999999994,425.87999999999994,37.70662288705173,0.21404941589976867
2020-06-01 15:30:00,416.97,416.97,37.920672302951495,0.21404941589976867
2020-06-01 15:45:00,412.95000000000005,412.95000000000005,38.13472171885126,0.21404941589976867
2020-06-01 16:00:00,391.14,391.14,38.348771134751026,0.21404941589976867
